,modelos,tipo,precios_original,precios_rebajado,rebaja,plazo_entrega
0,CRATE SOFÁ CHAISE PERLA,SOFÁ,2479.0,1429.0,1050.0,Envío en 7 días
1,DOLMEN SOFÁ CHAISE PERLA,SOFÁ,3398.0,1435.35,1962.65,Envío en 7 días
2,ONEL SOFÁ CAMA,SOFÁ,799.0,719.1,79.89999999999998,Envío en 35 días
3,"DOLMEN SOFÁ 3,5 PLAZAS CREMA",SOFÁ,2398.0,929.0,1469.0,Envío en 25 días
4,"AIR SOFÁ 3,5 PLAZAS PERLA",SOFÁ,2398.0,929.0,1469.0,Envío en 25 días
5,BLOCK SOFÁ MODULAR,SOFÁ,1299.0,999.0,300.0,Envío en 7 días
6,AIR SOFÁ CHAISE GRIS CLARO,SOFÁ,3398.0,1505.66,1892.34,Envío en 7 días
7,SOHO SOFÁ,SOFÁ,1149.0,899.0,250.0,Envío en 35 días
8,OLYMPE SOFÁ,SOFÁ,1699.0,1499.0,200.0,Envío en 7 días
9,ENZO BUTACA,BUTACA,269.0,242.1,26.900000000000006,Envío en 24/72h
10,ZUIV BUTACA AQUA,BUTACA,259.0,233.1,25.900000000000006,Envío en 24/72h
11,ZUIV BUTACA GRIS,BUTACA,259.0,233.1,25.900000000000006,Envío en 24/72h
12,ORNEL PUF,PUF,159.0,143.1,15.900000000000006,Envío en 24/72h
13,PIERO SOFÁ 3 PLAZAS,SOFÁ,699.0,499.0,200.0,Envío en 7 días
14,PIERO SOFÁ,SOFÁ,1099.0,799.0,300.0,Envío en 15 días
15,OHIO SOFÁ,SOFÁ,1899.0,1299.0,600.0,Envío en 7 días
16,JUNE SOFÁ CON ARCÓN,SOFÁ,1159.0,999.0,160.0,Envío en 20 días
17,CLAUD PUF ARCÓN MOSTAZA,PUF,59.0,53.1,5.899999999999999,Envío en 24/72h
18,FRAYA BUTACA,BUTACA,249.0,224.1,24.900000000000006,Envío en 24/72h
19,CLAUD PUF ARCÓN GRIS,PUF,59.0,53.1,5.899999999999999,Envío en 24/72h
20,"LOFT SOFÁ 2,5 PLAZAS",SOFÁ,1140.0,872.1,267.9,Envío en 60 días
21,DALLAS SOFÁ CAMA GRIS,SOFÁ,379.0,341.1,37.89999999999998,Envío en 7 días
22,LOFT SOFÁ + PUF,SOFÁ,1928.24,1475.1,453.1400000000001,Envío en 60 días
23,DALLAS SOFÁ CAMA BEIGE,SOFÁ,379.0,341.1,37.89999999999998,Envío en 7 días
24,OWEN SOFÁ CAMA GRIS,SOFÁ,399.0,359.1,39.89999999999998,Envío en 7 días
25,OWEN SOFÁ CAMA BEIGE,SOFÁ,399.0,359.1,39.89999999999998,Envío en 7 días
26,SOUND SOFÁ,SOFÁ,3198.0,1698.14,1499.86,Envío en 60 días
27,FEZ SOFÁ 2 PLAZAS,SOFÁ,1598.67,1079.1,519.5700000000002,Envío en 60 días
28,PENTA SOFÁ PATAS NATURAL 3 PLAZAS,SOFÁ,1099.0,989.1,109.89999999999998,Envío en 75 días
29,CRATE SOFÁ,SOFÁ,2479.0,1673.33,805.6700000000001,Envío en 60 días
30,DUVER SOFÁ CAMA,SOFÁ,999.0,899.1,99.89999999999998,Envío en 7 días
31,LUMB SOFÁ ELÉCTRICO,SOFÁ,4198.0,1889.1,2308.9,Envío en 60 días
